YUG_fascist;ZBOR;;;;;;;;;;;;;
YUG_ADJ;Yugoslav;;;;;;;;;;;;;
AUS_fascist;Vaterl‰ndische Front;;;;;;;;;;;;;
SWI_liberal;Freisinnig-Demokratische Partei;;;;;;;;;;;;;
GCO_communist;Partido Communista;;;;;;;;;;;;;
GCO_fascist;Partido Fascista;;;;;;;;;;;;;
MNP;Manipur;;;;;;;;;;;;;
MNP_ADJ;Manipuri;;;;;;;;;;;;;
BDK;Badakhshan;;;;;;;;;;;;;
BDK_ADJ;Badakhshani;;;;;;;;;;;;;
guajiro;Wayuu;;;;;;;;;;;;;
lendu;Lendu;;;;;;;;;;;;;
ruanda;Banyarwanda;;;;;;;;;;;;;
kingwana;Kingwana;;;;;;;;;;;;;
chokwe;Chokwe;;;;;;;;;;;;;
CNG;The Congo;;;;;;;;;;;;;
CNG_absolute_monarchy;The Congo Free State;;;;;;;;;;;;;
CNG_prussian_constitutionalism;The Congo Free State;;;;;;;;;;;;;
CNG_hms_government;The Congo Free State;;;;;;;;;;;;;
CNG_presidential_dictatorship;Zaire;;;;;;;;;;;;;
CNG_democracy;Republic of the Congo;;;;;;;;;;;;;
CNG_liberal_2;Alliance of Bakongo;;;;;;;;;;;;;
CNG_conservative_2;Congolese National Movement;;;;;;;;;;;;;
CNG_socialist;African Solidarity Party;;;;;;;;;;;;;
CNG_reactionary_2;Popular Movement of the Revolution;;;;;;;;;;;;;
CNG_anarcho_liberal;Common Front;;;;;;;;;;;;;
CNG_communist;Congolese National Union;;;;;;;;;;;;;
CNG_fascist;Party of National Unity;;;;;;;;;;;;;
GEO_conservative;Demokratiuli Modzraoba;;;;;;;;;;;;;
GEO_liberal;Sakartvelos Respublikuri;;;;;;;;;;;;;
GEO_reactionary;Natsionaluri Modzraoba;;;;;;;;;;;;;
GEO_anarcho_liberal;Sakartvelos Gza;;;;;;;;;;;;;
GEO_socialist;Sakartvelos Leiboristuli;;;;;;;;;;;;;
GEO_communist;Sakartvelos Komunisturi;;;;;;;;;;;;;
GEO_fascist;Erovnuli Sotsialisturi;;;;;;;;;;;;;
ITA_reactionary;Fazione Monarchica;Restorationiste;Ristorazionista;;Restauracionistas;;;;;;;;;
ITA_conservative;La Destra;;;;;;;;;;;;;
ITA_conservative_2;Partito Liberale Italiano;;;;;;;;;;;;;
ITA_conservative_3;Sinistra Dissidente;;;;;;;;;;;;;
ITA_liberal;La Sinistra;;;;;;;;;;;;;
ITA_liberal_2;Partito Repubblicano Italiano;;;;;;;;;;;;;
ITA_socialist;L'Estrema;;;;;;;;;;;;;
ITA_socialist_2;Partito Socialista Italiano;;;;;;;;;;;;;
ITA_anarcho_liberal;L'Estrema Liberale;;;;;;;;;;;;;
ITA_communist;Partito Comunista d'Italia;;;;;;;;;;;;;
ITA_fascist;Partito Nazionale Fascista;;;;;;;;;;;;;
PGG_reactionary;Jahriyya Menhuan;;;;;;;;;;;;;
PGG_liberal;Gaige Pai Zhenying;;;;;;;;;;;;;
PGG_conservative;Qa'id Jami al-Muslimin;;;;;;;;;;;;;
PGG_anarcho_liberal;Jijin Dang;;;;;;;;;;;;;
PGG_socialist;Shehuidang;;;;;;;;;;;;;
PGG_communist;GÚngchandang;;;;;;;;;;;;;
PGG_fascist;F‡xisi Dang;;;;;;;;;;;;;
PGG;Pingnan Guo;;;;;;;;;;;;;
PGG_ADJ;Hui;;;;;;;;;;;;;
UKR_conservative;Ukrainian Democratic Agrarian Party;;;;;;;;;;;;;
UKR_liberal;Ukrainian Democratic Party;;;;;;;;;;;;;
UKR_reactionary;Congress of Landowners;;;;;;;;;;;;;
UKR_anarcho_liberal;Ukrainian Radical Party;;;;;;;;;;;;;
UKR_socialist;Ukrainian Social Democratic Labour Party;;;;;;;;;;;;;
UKR_communist;Ukrainian Communist Party;;;;;;;;;;;;;
UKR_fascist;Organization of Ukrainian Nationalists;;;;;;;;;;;;;
TUN;Tunisia;;;;;;;;;;;;;
TUN_absolute_monarchy;Tunis;;;;;;;;;;;;;
TUN_prussian_constitutionalism;Tunis;;;;;;;;;;;;;
ALB_communist;Partia e PunÎs e ShqipÎrisÎ;;;;;;;;;;;;;
ALB_fascist;Partia Fashiste e ShqipÎrisÎ;;;;;;;;;;;;;
ALB_conservative;LÎvizja Legalitetit;;;;;;;;;;;;;
AUS_communist;Kommunistische Partei ÷sterreichs;;;;;;;;;;;;;
BEL_communist;Parti Communiste de Belgique;;;;;;;;;;;;;
BUL_socialist;BRSDP;;;;;;;;;;;;;
BUL_liberal;Balgarski Zemedelski Naroden Sayuz;;;;;;;;;;;;;
BUL_anarcho_liberal;Radoslavists;;;;;;;;;;;;;
BUL_communist;Balgarska Komunisticheska Partiya;;;;;;;;;;;;;
BUL_conservative;Mladoliberalna Partija-Toncevisti;;;;;;;;;;;;;
CAN_socialist;Socialist Party of Canada;;;;;;;;;;;;;
CAN_communist;Communist Party of Canada;;;;;;;;;;;;;
CAN_conservative;Conservative Party of Canada;;;;;;;;;;;;;
CAN_reactionary;Tories;;;;;;;;;;;;;
CAN_liberal_1;Red Party;;;;;;;;;;;;;
CAN_liberal_2;Liberal Party of Canada;;;;;;;;;;;;;
DAI;Vietnam;;;;;;;;;;;;;
DAI_communist;Viet Nam Cong san –ang;;;;;;;;;;;;;
ENG_communist;Communist Party of Great Britain;;;;;;;;;;;;;
FIN_fascist;Is‰nmaallinen kansanliike;;;;;;;;;;;;;
MEX_socialist;Partido Laborista Mexicano;;;;;;;;;;;;;
MEX_communist;Partido Socialista Obrero;;;;;;;;;;;;;
MEX_fascist;UniÛn Nacional Sinarquista;;;;;;;;;;;;;
NET_conservative;Anti-Revolutionaire Partij;;;;;;;;;;;;;
HOL_socialist_1;Sociaal-Democratische Vereeniging;;;;;;;;;;;;;
HOL_socialist_2;Sociaal-Democratische Bond;;;;;;;;;;;;;
HOL_socialist_3;Sociaal Democratische Arbeiders Partij;;;;;;;;;;;;;
HOL_fascist;Verbond Van Actualisten;;;;;;;;;;;;;
POR_socialist;Partido Socialista PortuguÍs;;;;;;;;;;;;;
POR_communist;Partido Comunista PortuguÍs;;;;;;;;;;;;;
RUS_fascist;All-Russian Fascist Party;;;;;;;;;;;;;
SER_reactionary;Nacionalna Stranka;;;;;;;;;;;;;
SER_communist;Srpska Socijaldemokratska Partija;;;;;;;;;;;;;
SER_fascist;Narodna Odbrana;;;;;;;;;;;;;
SER_conservative;Ustavobranitelji;;;;;;;;;;;;;
SER_conservative_2;Konzervativna Stranka;;;;;;;;;;;;;
SER_conservative_3;Srpska Napredna Stranka;;;;;;;;;;;;;
SER_socialist;Samostalna Radikalna Stranka;;;;;;;;;;;;;
SER_liberal;Liberalna Stranka;;;;;;;;;;;;;
SER_liberal_2;Narodna Radikalna Stranka;;;;;;;;;;;;;
SER_anarcho_liberal;Anarho-Liberalno Stranka;;;;;;;;;;;;;
GRE_communist;KommounistikÛ KÛmma Ell·das;;;;;;;;;;;;;
GRE_socialist;SosialistikÛ KÛmma Ell·das;;;;;;;;;;;;;
GRE_fascist;Ethniki Enosis Ellados;;;;;;;;;;;;;
GRE_anarcho_liberal;EthnikÛn RizospastikÛn KÛmma;;;;;;;;;;;;;
GRE_reactionary;KÛmma ton NapaÌon;;;;;;;;;;;;;
GRE_conservative;SyntagmatikÛ KÛmma;;;;;;;;;;;;;
GRE_conservative_2;KÛmma EthnikÛfronon;;;;;;;;;;;;;
GRE_liberal;EthnikÛ KÛmma;;;;;;;;;;;;;
GRE_liberal_2;NeoteristikÛn KÛmma;;;;;;;;;;;;;
USA_socialist;Workingmen's Party;;;;;;;;;;;;;
USA_communist;Communist Party USA;;;;;;;;;;;;;
USA_fascist;Silver Legion of America;;;;;;;;;;;;;
YUG_reactionary;Jugoslovenska Nacionalna Stranka;;;;;;;;;;;;;
YUG_liberal;Samostalna Demokratska Stranka;;;;;;;;;;;;;
YUG_anarcho_liberal;Narodna Radikalna Stranka;;;;;;;;;;;;;
YUG_communist;Komunisticka Partija Jugoslavije;;;;;;;;;;;;;
YUG_socialist;Socijalisticka Radnicka Partija Jugoslavije;;;;;;;;;;;;x ;
YUG_conservative;Jugoslovanska Demokratska Stranka;;;;;;;;;;;;;
NMB;Namibia;;;;;;;;;;;;;
NMB_ADJ;Namibian;;;;;;;;;;;;;
NMB_liberal;Republican Party;;;;;;;;;;;;;
NMB_conservative;NUDO;;;;;;;;;;;;;
NMB_socialist;SWANU;;;;;;;;;;;;;
NMB_reactionary;NAPDO;;;;;;;;;;;;;
NMB_anarcho_liberal;Economic Freedom Fighters;;;;;;;;;;;;;
NMB_communist;SWAPO;;;;;;;;;;;;;
NMB_fascist;Patriotic Union Movement;;;;;;;;;;;;;
SLG;Selangor;;;;;;;;;;;;;
SLG_ADJ;Selangorese;;;;;;;;;;;;;
PRK;Perak;;;;;;;;;;;;;
PRK_ADJ;Peraki;;;;;;;;;;;;;
PHG;Pahang;;;;;;;;;;;;;
PHG_ADJ;Pahangi;;;;;;;;;;;;;
SGM;Hohenzollern-Sigmaringen;;;;;;;;;;;;;
SGM_ADJ;Sigmaringian;;;;;;;;;;;;;
FRO;Faroe Islands;;;;;;;;;;;;;
FRO_ADJ;Faroese;;;;;;;;;;;;;
FRO_liberal;Sj·lvst˝risflokkurin;;;;;;;;;;;;;
FRO_conservative;Sambandsflokkurin;;;;;;;;;;;;;
FRO_reactionary;Hin F¯royski Flokkurin;;;;;;;;;;;;;
FRO_socialist;Javnaarflokkurin;;;;;;;;;;;;;
FRO_anarcho_liberal;Vinnuflokkurin;;;;;;;;;;;;;
FRO_communist;Kommunistiski Flokkur F¯roya;;;;;;;;;;;;;
FRO_fascist;Loysingarflokkurin;;;;;;;;;;;;;
RUS_french_bourbon;The Union of Soviet Socialist Republics;;;;;;;;;;;;;
NCT;Neuchatel;;;;;;;;;;;;;
NCT_ADJ;Neuchateli;;;;;;;;;;;;;
UBD;The United Baltic Provinces;;;;;;;;;;;;;
UBD_democracy;The Baltic Union;;;;;;;;;;;;;
UBD_french_bourbon;The Baltic Worker's Union;;;;;;;;;;;;;
UBD_fascist;Baltic Fascist Union;;;;;;;;;;;;;
UBD_communist;Baltic Communist Party;;;;;;;;;;;;;
UBD_socialist;Union of Baltic Workers and Socialists;;;;;;;;;;;;;
UBD_socialist_2;Baltic Labour Party;;;;;;;;;;;;;
UBD_anarcho_liberals;Radical Party;;;;;;;;;;;;;
UBD_liberal_2;The All-Baltic Landtag;;;;;;;;;;;;;
UBD_liberal;Progressive Union;;;;;;;;;;;;;
UBD_conservative_2;Union of Landowners and Farmers;;;;;;;;;;;;;
UBD_reactionary;Royalist Faction;;;;;;;;;;;;;
UBD_conservative;German Landtag;;;;;;;;;;;;;
EST_fascist;Vabadussıjalased;;;;;;;;;;;;;
EST_communist;Eestimaa Kommunistlik Partei;;;;;;;;;;;;;
EST_socialist;Eesti Sotsialistlik Tˆˆliste Partei;;;;;;;;;;;;;
EST_socialist_2;Eesti Tˆˆerakond;;;;;;;;;;;;;
EST_anarcho_liberal;Radikaal-Demokraatlik Erakond;;;;;;;;;;;;;
EST_liberal;Asunikkude Partei;;;;;;;;;;;;;
EST_conservative;Pıllumeeste Kogud;;;;;;;;;;;;;
EST_conservative_2;Kristlik Rahvaerakond;;;;;;;;;;;;;
EST_reactionary;Eesti Rojalistlik Partei;;;;;;;;;;;;;
EST_reactionary_2;Isamaaliit;;;;;;;;;;;;;
LIV_fascist;Perkonkrusts;;;;;;;;;;;;;
LIV_communist;Latvijas Komunistiska Partija;;;;;;;;;;;;;
LIV_socialist_2;Mazinieki;;;;;;;;;;;;;
LIV_socialist;LSDSP;;;;;;;;;;;;;
LIV_anarcho_liberal;Latvijas Radikaldemokratu Partija;;;;;;;;;;;;;
LIV_liberal_2;Blodnieka Partija;;;;;;;;;;;;;
LIV_liberal;Demokratiskais Centrs;;;;;;;;;;;;;
LIV_conservative_2;Kristigo Zemnieku un Katolu Partija;;;;;;;;;;;;;
LIV_conservative;Latvieöu Zemnieku Savieniba;;;;;;;;;;;;;
LIV_reactionary_2;Nacionala Apvieniba;;;;;;;;;;;;;
LIV_reactionary;Rojalistu Partija;;;;;;;;;;;;;
HBY;Hobyo;;;;;;;;;;;;;
HBY_ADJ;Somali;;;;;;;;;;;;;
QAT;Qatar;;;;;;;;;;;;;
QAT_ADJ;Qatari;;;;;;;;;;;;;
URU_liberal_2;Colorados;;;;;;;;;;;;;
URU_socialist;Partido Socialista;;;;;;;;;;;;;
URU_communist;Partido Comunista;;;;;;;;;;;;;
LIT_reactionary;Monarchizmas Frakcija;;;;;;;;;;;;;
LIT_reactionary_2;Lietuviu Tautininku Sajunga;;;;;;;;;;;;;
LIT_conservative;Lietuvos Darbo Federacija;;;;;;;;;;;;;
LIT_conservative_2;LKDP;;;;;;;;;;;;;
LIT_anarcho_liberal;Tautos Paûangos Partija;;;;;;;;;;;;;
LIT_liberal;Lietuviu Demokratu Partij;;;;;;;;;;;;;
LIT_liberal_2;Lietuvos Valstieciu Liaudininku Sajunga;;;;;;;;;;;;;
LIT_socialist;LSDP;;;;;;;;;;;;;
LIT_communist;Lietuvos Komunistu Partija;;;;;;;;;;;;;
LIT_fascist;Lietuvos äauliu Sajunga;;;;;;;;;;;;;
KAR;Karen;;;;;;;;;;;;;
KAR_ADJ;Kareni;;;;;;;;;;;;;
BRY;Buryatia;;;;;;;;;;;;;
BRY_ADJ;Buryat;;;;;;;;;;;;;
BRY_conservative;Royal Faction;;;;;;;;;;;;;
BRY_liberal;The Liberal Faction;;;;;;;;;;;;;
BRY_reactionary;The Nationalist Faction;;;;;;;;;;;;;
BRY_anarcho_liberal;The Radical Faction;;;;;;;;;;;;;
BRY_socialist;The Socialist Faction;;;;;;;;;;;;;
BRY_communist;The Communist Faction;;;;;;;;;;;;;
BRY_fascist;The Fascist Faction;;;;;;;;;;;;;
MLD;Maldives;;;;;;;;;;;;;
MLD_ADJ;Maldive;;;;;;;;;;;;;
PAK;Pakistan;;;;;;;;;;;;;
PAK_ADJ;Pakistani;;;;;;;;;;;;;
PAK_conservative;Jamaat-e-Islami Pakistan;;;;;;;;;;;;;
PAK_liberal;Pakistan Tehreek-e-Insaf;;;;;;;;;;;;;
PAK_liberal_2;Muttahida Qaumi;;;;;;;;;;;;;
PAK_anarcho_liberal;Awami National;;;;;;;;;;;;;
PAK_socialist;Pakistan Awami Tehreek;;;;;;;;;;;;;
PAK_socialist_2;Kull Pakistan Kissan;;;;;;;;;;;;;
PAK_communist;Pakistan People's Party;;;;;;;;;;;;;
PAK_fascist;Jamaat Ahle Sunnat;;;;;;;;;;;;;
PAK_reactionary;Jamiat Ulema-e-Islam;;;;;;;;;;;;;
CRL;Chitral;;;;;;;;;;;;;
CRL_ADJ;Chitrali;;;;;;;;;;;;;
MSS;Samos;;;;;;;;;;;;;
MSS_ADJ;Greek;;;;;;;;;;;;;
RDL;Ardalan;;;;;;;;;;;;;
RDL_ADJ;Ardalani;;;;;;;;;;;;;
BTL;Bitlis;;;;;;;;;;;;;
BTL_ADJ;Bitlisi;;;;;;;;;;;;;
BNB;Baban;;;;;;;;;;;;;
BNB_ADJ;Babani;;;;;;;;;;;;;
BDN;Hakkari;;;;;;;;;;;;;
BDN_ADJ;Hakkari;;;;;;;;;;;;;
MKN;Mukriyan;;;;;;;;;;;;;
MKN_ADJ;Mukriyani;;;;;;;;;;;;;
BHT;Bohtan;;;;;;;;;;;;;
BHT_ADJ;Bohtani;;;;;;;;;;;;;
SRN;Soran;;;;;;;;;;;;;
SRN_ADJ;Sorani;;;;;;;;;;;;;
LBG;Limburg;;;;;;;;;;;;;
LBG_ADJ;Limburgian;;;;;;;;;;;;;
EGY_democracy;The Republic of Egypt;;;;;;;;;;;;;
ABK;Abkhazia;;;;;;;;;;;;;
ABK_ADJ;Abkhazian;;;;;;;;;;;;;
ABK_reactionary;Bey Loyalists;;;;;;;;;;;;;
ABK_conservative;Conservative Faction;;;;;;;;;;;;;
ABK_liberal;Reformist Faction;;;;;;;;;;;;;
ABK_anarcho_liberal;Radical Faction;;;;;;;;;;;;;
ABK_socialist;Socialist Party;;;;;;;;;;;;;
ABK_communist;People's Party of Abkhazia;;;;;;;;;;;;;
ABK_fascist;United Abkhazia Party;;;;;;;;;;;;;
QUE_ADJ;Quebecois;;;;;;;;;;;;;
LIB_conservative;Republican Party;;;;;;;;;;;;;
LIB_conservative_2;Democratic Party;;;;;;;;;;;;;
LIB_liberal;True Whig Party;;;;;;;;;;;;;
LIB_liberal_2;Pan-African Party;;;;;;;;;;;;;
LIB_socialist;African Revolutionary Party;;;;;;;;;;;;;
LIB_reactionary;Nationalist Party;;;;;;;;;;;;;
LIB_anarcho_liberal;Radical Party;;;;;;;;;;;;;
LIB_communist;Communist Party;;;;;;;;;;;;;
LIB_fascist;Fascist Party;;;;;;;;;;;;;
BAY_reactionary;Ultramontanismus Faction;;;;;;;;;;;;;
BHP;Bahawalpur;;;;;;;;;;;;;
BHP_ADJ;Punjabi;;;;;;;;;;;;;
WEI;Saxe-Weimar;;;;;;;;;;;;;
ENG_french_bourbon;The Union of Britain;;;;;;;;;;;;;
ENG_bourgeois_dictatorship;The British Commonwealth;;;;;;;;;;;;;
shilluk;Shilluk;;;;;;;;;;;;;
PBC;Peru-Bolivia;;;;;;;;;;;;;
PBC_absolute_monarchy;Great Peru;;;;;;;;;;;;;
PBC_prussian_constitutionalism;Great Peru;;;;;;;;;;;;;
PBC_hms_government;Peru-Bolivia;;;;;;;;;;;;;
PBC_french_bourbon;The People's Andine Republic;;;;;;;;;;;;;
PBC_french_bourbon_ADJ;Andine;;;;;;;;;;;;;
PBC_democracy;Andine Federation;;;;;;;;;;;;;
PBC_democracy_ADJ;Andine;;;;;;;;;;;;;
PBC_ADJ;Andine;;;;;;;;;;;;;
YNN_reactionary_2;Confucianist Tusi;;;;;;;;;;;;;
YNN_liberal_2;Westernizer Tusi;;;;;;;;;;;;;
YNN_conservative_2;Local Tusi;;;;;;;;;;;;;
XIN_reactionary_2;Confucianist Faction;;;;;;;;;;;;;
XIN_conservative_2;Amban Faction;;;;;;;;;;;;;
XIN_liberal_2;Reformer Faction;;;;;;;;;;;;;
KOR;Korea;;;;;;;;;;;;;
KOR_absolute_monarchy;The Kingdom of Joseon;;;;;;;;;;;;;
KOR_french_bourbon;DPRK;;;;;;;;;;;;;
KOR_reactionary;Bandong;;;;;;;;;;;;;
KOR_liberal;Taewon'gun;;;;;;;;;;;;;
KOR_liberal_2;Songgyungwan;;;;;;;;;;;;;
KOR_conservative;Tong Hak;;;;;;;;;;;;;
KOR_liberal_3;Silhak;;;;;;;;;;;;;
KOR_anarcho_liberal;Geubjinpa;;;;;;;;;;;;;
KOR_conservative_2;Wangdangpa;;;;;;;;;;;;;
KOR_socialist;Sahoe-tang;;;;;;;;;;;;;
KOR_communist;Choson Kongsantang;;;;;;;;;;;;;
KOR_fascist;Pasiseuteu Pati;;;;;;;;;;;;;
MCK;Manchuria;;;;;;;;;;;;;
MCK_french_bourbon;Manzhouguo;Manchukuo;Manchukuo;;;;;;;;;;;
MCK_presidential_dictatorship;Fengtian Clique;;;;;;;;;;;;;
MCK_ADJ;Manchu;Mandchou;Manchu;;;;;;;;;;;
MCK_presidential_dictatorship_ADJ;Fengtian;;;;;;;;;;;;;
SIA_absolute_monarchy;Rattanakosin;;;;;;;;;;;;;
SIA_prussian_constitutionalism;Siam;;;;;;;;;;;;;
SIA_hms_government;Siam;;;;;;;;;;;;;
KML;Kumul Khanate;;;;;;;;;;;;;
KML_democracy;Kumul Republic;;;;;;;;;;;;;
KML_bourgeois_dictatorship;Kumul;;;;;;;;;;;;;
KML_french_bourbon;People's Republic of Kumul;;;;;;;;;;;;;
KML_ADJ;Kumulian;;;;;;;;;;;;;
KML_conservative;Kumul Shah Faction;;;;;;;;;;;;;
KML_liberal;Kumul Reformers;;;;;;;;;;;;;
KML_reactionary;Kumul Fundamentalists;;;;;;;;;;;;;
KML_anarcho_liberal;Kumul Libertarians;;;;;;;;;;;;;
KML_socialist;Kumul Socialists;;;;;;;;;;;;;
KML_communist;Kumul People's Party;;;;;;;;;;;;;
KML_fascist;Kumul National Front;;;;;;;;;;;;;
PROV2281;Esmeraldas;;;;;;;;;;;;;
PROV1363;Pakse;;;;;;;;;;;;;
PROV1364;Phnom Penh;;;;;;;;;;;;;
PROV1464;Jolo;;;;;;;;;;;;;
ATJ;Aceh;;;;;;;;;;;;;
ATJ_ADJ;Acehnese;;;;;;;;;;;;;
JOH;Johor;;;;;;;;;;;;;
UCA;The FRCA;;;;;;;;;;;;;
LHJ;Lahej;;;;;;;;;;;;;
LHJ_ADJ;Laheji;;;;;;;;;;;;;
FDL;Fadhli;;;;;;;;;;;;;
FDL_ADJ;Fadhlii;;;;;;;;;;;;;
KTH;Kathiri;;;;;;;;;;;;;
KTH_ADJ;Kathirii;;;;;;;;;;;;;
MHR;Mahra;;;;;;;;;;;;;
MHR_ADJ;Mahrai;;;;;;;;;;;;;
SBA;Buenos Aires;;;;;;;;;;;;;
SBA_ADJ;Porteno;;;;;;;;;;;;;
BRZ_absolute_monarchy;The Empire of Brazil;;;;;;;;;;;;;
BRZ_prussian_constitutionalism;The Empire of Brazil;;;;;;;;;;;;;
BRZ_hms_government;The Empire of Brazil;;;;;;;;;;;;;
BRZ_dominion;The Kingdom of Brazil;;;;;;;;;;;;;
BRZ_colonial_company;Brazil;;;;;;;;;;;;;
ARC;Argentina;;;;;;;;;;;;;
ARC_democracy;The Argentine Confederation;;;;;;;;;;;;;
ARC_presidential_dictatorship;The Argentine Confederation;;;;;;;;;;;;;
ARC_french_bourbon;The Communist Federation of Argentina;;;;;;;;;;;;;
ARC_ADJ;Argentinian;;;;;;;;;;;;;
CRT;Corrientes;;;;;;;;;;;;;
CRT_ADJ;Entrerriano;;;;;;;;;;;;;
DAR_absolute_monarchy;Darfur Sultanate;;;;;;;;;;;;;
DAR_prussian_constitutionalism;Darfur Sultanate;;;;;;;;;;;;;
DAR_hms_government;Darfur Sultanate;;;;;;;;;;;;;
DAM_absolute_monarchy;Damagaram Sultanate;;;;;;;;;;;;;
DAM_prussian_constitutionalism;Damagaram Sultanate;;;;;;;;;;;;;
DAM_hms_government;Damagaram Sultanate;;;;;;;;;;;;;
SOK_absolute_monarchy;Sokoto Caliphate;;;;;;;;;;;;;
SOK_prussian_constitutionalism;Sokoto Caliphate;;;;;;;;;;;;;
SOK_hms_government;Sokoto Caliphate;;;;;;;;;;;;;
KBO_absolute_monarchy;Bornu Empire;;;;;;;;;;;;;
KBO_prussian_constitutionalism;Bornu Empire;;;;;;;;;;;;;
KBO_hms_government;Bornu;;;;;;;;;;;;;
