#Please keep tags sorted alphabetically when you add/remove country tags
#Please when editing this file add reference to event 9999840 (the not commented-out one)

# Special countries...
REB     =     "countries/rebels.txt"

### AGE OF ENLIGHTENMENT ###

CLN     = "countries/Cleanup.txt"
ARN        = "countries/Aragon.txt"
LTN        = "countries/LatinEmpire.txt"
GOD        = "countries/GOD.txt"
VAL        = "countries/Valais.txt"
THL        = "countries/Three Leagues.txt"
KZR        = "countries/Khazaria.txt"
#ASG        = "countries/Abbey of Saint Gall.txt"
#CSG        = "countries/City of Saint Gallen.txt"
#GSU        = "countries/Gersau.txt"
#MLH        = "countries/Mulhouse.txt"
#BSL        = "countries/Basel.txt"
#ROT        = "countries/Rottweil.txt"
LUS        = "countries/Lusatia.txt"
#NGI        = "countries/Nogai.txt"
GHR        = "countries/Golden Horde.txt"
MNZ        = "countries/Mainz.txt"
DOR        = "countries/Dortmund.txt"
FUL        = "countries/Fulda.txt"
#SXZ        = "countries/Saxe-Zeitz.txt"
#SOR        = "countries/Sora.txt"
FSU        = "countries/FSU.txt" #Franco-Spanish Union
ADU        = "countries/Anglo-Dutch Union.txt" #Anglo-Deez Union
HAB		   = "countries/Habsburg Monarchy.txt"
NUR		   = "countries/Nuremberg.txt"
BGY			= "countries/Burgundy.txt"
MTF			= "countries/Montferrat.txt"

# India #
HTK        = "countries/Hotaki Empire.txt"
DLH        = "countries/Delhi Sultanate.txt"
DEC        = "countries/Deccan.txt"

### NEW NATIONS MOD ###

###France Mod###
FCA        ="countries/French Canada.txt"
ULA        ="countries/Louisiana.txt"
UTI        ="countries/Utility Tag.txt"
#ACA        ="countries/Acadia.txt"
BOR        ="countries/The Kingdom of France.txt"

##HFM New Nations
GCF         = "countries/German Confederation.txt"
SAA         = "countries/Saar.txt"
LAU         = "countries/Lauenburg.txt"
MSK        ="countries/Mosquito Coast.txt"
SVA        ="countries/Svaneti.txt"
MIG        ="countries/Mingrelia.txt"
GEN         ="countries/Genoa.txt"
PAT        ="countries/Pattani.txt"
PTK        ="countries/Pontianak.txt"
BTN        ="countries/Buton.txt"
KUN        ="countries/Kunduz.txt"
KED        ="countries/Kedah.txt"
KHR        ="countries/Khorasan.txt"
AZH        ="countries/Anazzah.txt"
URM        ="countries/Urmia.txt"
ALA     ="countries/Al-Andalus.txt"


##HPM
BDK        ="countries/Badakhshan.txt"
SGM        ="countries/Sigmaringen.txt"
PRK        ="countries/Perak.txt"
QAT        ="countries/Qatar.txt"
MLD        ="countries/Maldives.txt"
RDL        ="countries/Ardalan.txt"
#BTL        ="countries/Bitlis.txt"
BDN        ="countries/Bahdinan.txt"
BNB        ="countries/Baban.txt"
#MKN        ="countries/Mukriyan.txt"
BHT        ="countries/Bohtan.txt"
SRN        ="countries/Soran.txt"
LBG        ="countries/Limburg.txt"
SYC        ="countries/Sicily.txt"
ABK        ="countries/Abkhazia.txt"
LHJ        ="countries/Lahej.txt"
FDL        ="countries/Fadhli.txt"
KTH        ="countries/Kathiri.txt"
MHR        ="countries/Mahra.txt"
KML        ="countries/Kumul.txt"
SHK        ="countries/Shilluk.txt"
WRL         ="countries/Warsangali.txt"
#CHY        ="countries/Chechnya.txt"
QNG        ="countries/Qing China.txt"

#Latin America

GCO        = "countries/Gran Colombia.txt"
GUY        = "countries/Guyana.txt"
LPL        = "countries/La Plata.txt"

#North America
BLZ        = "countries/Belize.txt"
LSK        = "countries/Alaska.txt"
RPL        = "countries/Rupert's Land.txt"

#Europe
ALS        = "countries/Elsass.txt"
BRT        = "countries/Brittany.txt"
CRS        = "countries/Corsica.txt"
DLM        = "countries/Dalmatia.txt"
ENL        = "countries/England.txt"
GLM        = "countries/Galicia-Lodomeria.txt"
IBR        = "countries/Iberia.txt"
LOR        = "countries/Lorraine.txt"
MLT        = "countries/Malta.txt"
SPC        = "countries/Carlist Spain.txt"
SRD        = "countries/Sardinia.txt"
SVY        = "countries/Savoy.txt"

#Germany
RHI        = "countries/Rhineland.txt"
PML        = "countries/Pomerelia.txt"
SLS        = "countries/Silesia.txt"
WES        = "countries/Westfalen.txt"

#Russia
AKH        = "countries/Astrakhan.txt"
CPL        = "countries/Congress Poland.txt"
DON        = "countries/Cossackia.txt"
KAZ         = "countries/Kazakhstan.txt"
KAK     = "countries/Kartli.txt"
KMK        = "countries/Kalmykia.txt"
ZZH        = "countries/Zaporozhie.txt"
HET        = "countries/Hetmanat.txt"

#Middle East
ARU        = "countries/Arab Union.txt" #for MOR
ASY        = "countries/Assyria.txt"
BHR        = "countries/Bahrain.txt"
CIR        = "countries/Circassia.txt"
CLC        = "countries/Cilicia.txt"
DAG        = "countries/Dagestan.txt"
DUR        = "countries/Durrani Empire.txt"
HAL        = "countries/Hail.txt"
IMR        = "countries/Imereti.txt"
JOR        = "countries/Jordan.txt"
KDS        = "countries/Kurdistan.txt"
KWT        = "countries/Kuwait.txt"
LBN        = "countries/Lebanon.txt"
NYE        = "countries/North Yemen.txt"
PLS        = "countries/Palestine.txt"
PNT        = "countries/Pontus.txt"
SYR        = "countries/Syria.txt"
TKM        = "countries/Turkmenistan.txt"

#India
ASM        = "countries/Assam.txt"
BIH        = "countries/Bihar.txt"
BLC        = "countries/Baluchistan.txt"
BNG        = "countries/Bengal.txt"
DMS        = "countries/Dimasa.txt"
KRN        = "countries/Karnatak.txt"
MAH        = "countries/Maharashtra.txt"
RAJ        = "countries/Rajputana.txt"

#HPM Africa
GFL        ="countries/Great Fulo.txt"
MND        ="countries/Mande.txt"
TIM        ="countries/Timbuktu.txt"
KAT        ="countries/Katsina.txt"

#Africa
AGC        = "countries/Angoche.txt"
ANK        = "countries/Ankole.txt"
ARO        = "countries/Aro.txt"
ASH        = "countries/Ashanti.txt"
AWS        = "countries/Awsa.txt"
BEN        = "countries/Benin.txt"
BRD        = "countries/Urundi.txt"
BRG        = "countries/Borgu.txt"
BSH        = "countries/Basotho.txt"
BUG        = "countries/Buganda.txt"
BNY        = "countries/Bunyoro.txt"
DGB        = "countries/Dagbon.txt"
CLA        = "countries/Calabar.txt"
DAH        = "countries/Dahomey.txt"
DAR        = "countries/Darfur.txt"
DND        = "countries/Dendi.txt"
FZN        = "countries/Fezzan.txt"
GAZ        = "countries/Gaza.txt"
GBU        = "countries/Gabu.txt"
GEU        = "countries/Geebu.txt"
GEL        = "countries/Geledi.txt"
GOB        = "countries/Gobir.txt"
HAR        = "countries/Harar.txt"
HAD        = "countries/Hadejia.txt"
KAF        = "countries/Kaffa.txt"
KBO        = "countries/Kanem-Bornu.txt"
KNG        = "countries/Kong.txt"
KON        = "countries/Kongo.txt"
KNO        = "countries/Kano.txt"
KUB        = "countries/Kuba.txt"
KWR        = "countries/Kwararafa.txt"
KZB        = "countries/Kazembe.txt"
LBA        = "countries/Luba.txt"
LUN        = "countries/Lunda.txt"
MAJ        = "countries/Majeerteen.txt"
MAT        = "countries/Matabele.txt"
MBU        = "countries/Mbunda.txt"
MRV        = "countries/Maravi.txt"
MNE        = "countries/Monoemugi.txt"
MOS        = "countries/Mossi.txt"
MTP        = "countries/Mutapa.txt"
NPE        = "countries/Nupe.txt"
NRI        = "countries/Nri.txt"
OYO        = "countries/Oyo.txt"
RWA        = "countries/Ruanda.txt"
RZV        = "countries/Rozvi.txt"
#SUS        = "countries/Sus.txt" #for MOR
SEG        = "countries/Segu.txt"
SFL        = "countries/Sofala.txt"
SUA        = "countries/Suazi.txt"
SUD        = "countries/Sudan.txt"
#TAF        = "countries/Tafilalt.txt" #for MOR
TOO        = "countries/Tooro.txt"
TRZ        = "countries/Trarza.txt"
WAD        = "countries/Wadai.txt"
WRI        = "countries/Warri.txt"
WOL        = "countries/Wolof.txt"
XHO        = "countries/Xhosa.txt"
ZAR        = "countries/Zaria.txt"
BRM        = "countries/Baguirmi.txt"
LOZ        = "countries/Barotseland.txt"
#stopped here for now
# Eastern Asia
DJA        = "countries/Jambi.txt"
FJN        = "countries/Fujian.txt"
GMJ        = "countries/Guominjun.txt"
GNG        = "countries/Guangdong.txt"
HNN        = "countries/Hunan.txt"
HUI        = "countries/Anhui.txt"
INO        = "countries/Indonesia.txt"
KCH        = "countries/Kachin.txt"
KLM        = "countries/Kalimantan.txt"
KVD        = "countries/Kobdo.txt"
KMT        = "countries/Nationalist China.txt"
KTI        = "countries/Kutai.txt"
LAN        = "countries/Lanfang.txt"
LXA        = "countries/Lan Xang.txt"
MAL        = "countries/Maluku.txt"
MLY        = "countries/Malaya.txt"
SHA        = "countries/Shan.txt"
SLW        = "countries/Sulawesi.txt"
SAK        = "countries/Siak.txt"
SUL        = "countries/Sulu.txt"
SWK        = "countries/Sarawak.txt"
SZC        = "countries/Sichuan.txt"
TAI        = "countries/Taiwan.txt"
MGE        = "countries/Mongol Empire.txt"
CHP		   = "countries/Champa.txt"

# Japan
CHO        = "countries/Choshu.txt"
KAG        = "countries/Kaga.txt"
RYU        = "countries/Ryukyu.txt"
SAT        = "countries/Satsuma.txt"
SEN        = "countries/Sendai.txt"
TKG        = "countries/Shogunate Japan.txt"
TOS        = "countries/Tosa.txt"
YZW        = "countries/Yonezawa.txt"

# Australasia & the Pacific
#AOT        = "countries/Aotearoa.txt"
#FIJ        = "countries/Fiji.txt"
#SNZ        = "countries/South Island.txt"
#TGA        = "countries/Tonga.txt"
####HPM######
PPG        = "countries/Papua New Guinea.txt"
VTU        = "countries/Vanuatu.txt"
SMO        = "countries/Samoa.txt"

### END OF NEW NATIONS MOD ###

# New for 2.3
ARA        = "countries/Arabia.txt"
BYE        = "countries/Belarus.txt"
PLC        = "countries/Poland-Lithuania.txt"
UBD        = "countries/United Baltic Provinces.txt"

# Scandinavia
DEN        = "countries/Denmark.txt"
FIN        = "countries/Finland.txt"
NOR        = "countries/Norway.txt"
SCA        = "countries/Scandinavia.txt"
SWE        = "countries/Sweden.txt"
DNN        = "countries/Denmark-Norway.txt"
#SAP     = "countries/Sapmi.txt"

# Western Europe
BEL        = "countries/Belgium.txt"
CAT        = "countries/Catalonia.txt"
FLA        = "countries/Flanders.txt"
IRE        = "countries/Ireland.txt"
NET        = "countries/Netherlands.txt"
POR        = "countries/Portugal.txt"
SCO        = "countries/Scotland.txt"
SPA        = "countries/Spain.txt"
WLL        = "countries/Wallonia.txt"

# Germany
ANH        = "countries/Anhalt.txt"
BAD        = "countries/Baden.txt"
BAV        = "countries/Bavaria.txt"
BRA        = "countries/Braunschweig.txt"
BRE        = "countries/Bremen.txt"
COB        = "countries/Saxe-Coburg-Gotha.txt"
DZG        = "countries/Danzig.txt"
FRM        = "countries/Frankfurt am Main.txt"
HAM        = "countries/Hamburg.txt"
HAN        = "countries/Hanover.txt"
HES        = "countries/Hesse-Darmstadt.txt"
HEK        = "countries/Hesse-Kassel.txt"
HOL        = "countries/Holstein.txt"
LIP        = "countries/Lippe-Detmold.txt"
LUB        = "countries/Lubeck.txt"
LUX        = "countries/Luxemburg.txt"
MEC        = "countries/Mecklenburg.txt"
MEI        = "countries/Saxe-Meiningen.txt"
NAS        = "countries/Nassau.txt"
NGF        = "countries/North German Fed.txt"
OLD        = "countries/Oldenburg.txt"
SAX        = "countries/Saxony.txt"
SCH        = "countries/Schleswig.txt"
SGF        = "countries/South German Fed.txt"
WEI        = "countries/Saxe-Weimar.txt"
WUR        = "countries/Wurttemberg.txt"

# Italy
LOM        = "countries/Lombardia.txt"
LUC        = "countries/Lucca.txt"
MOD        = "countries/Modena.txt"
PAP        = "countries/Papal States.txt"
PAR        = "countries/Parma.txt"
SAR        = "countries/Sardinia-Piedmont.txt"
SIC        = "countries/Two Sicilies.txt"
TRE        = "countries/Trieste.txt"
TUS        = "countries/Tuscany.txt"
VEN        = "countries/Venice.txt"
MNT        = "countries/Mantua.txt"

# Eastern Europe
BOH        = "countries/Bohemia-Moravia.txt"
KRA        = "countries/Krakow.txt"
CRI        = "countries/Crimea.txt"
EST        = "countries/Estonia.txt"
HUN        = "countries/Hungary.txt"
LIT        = "countries/Lithuania.txt"
LAT        = "countries/Latvia.txt"
POL        = "countries/Poland.txt"
SLV        = "countries/Slovakia.txt"
SWI        = "countries/Switzerland.txt"
RUT        = "countries/Ruthenia.txt"
SIE        = "countries/Siebenburgen.txt"
UKR        = "countries/Ukraine.txt"
CZH        = "countries/Czechoslovakia.txt"

# Balkans
ALB        ="countries/Albania.txt"
BOS        ="countries/Bosnia-Herzegovina.txt"
BUL        ="countries/Bulgaria.txt"
CRE        ="countries/Crete.txt"
CRO        ="countries/Croatia.txt"
CYP        ="countries/Cyprus.txt"
GRE        ="countries/Greece.txt"
ION        ="countries/Ionian Islands.txt"
MOL        ="countries/Moldavia.txt"
MON        ="countries/Montenegro.txt"
ROM        ="countries/Romania.txt"
SER        ="countries/Serbia.txt"
SLO        ="countries/Slovenia.txt"
TUR        ="countries/Ottoman Empire.txt"
WAL        ="countries/Wallachia.txt"
YUG        ="countries/Yugoslavia.txt"

# Africa
ALD        ="countries/Aldjazair.txt"
ARD        ="countries/Ardra.txt"
CNG        ="countries/Congo Free State.txt"
EGY        ="countries/Egypt.txt"
ETH        ="countries/Ethiopia.txt"
IGL        ="countries/Igala.txt"
MAD        ="countries/Madagascar.txt"
LIB        ="countries/Liberia.txt"
MOR        ="countries/Morocco.txt"
NAL        ="countries/Natalia.txt"
ORA        ="countries/Oranje.txt"
SAF        ="countries/South Africa.txt"
SOK        ="countries/Sokoto.txt"
RHO        ="countries/Southern Rhodesia.txt"
TRI        ="countries/Tripoli.txt"
TRN        ="countries/Transvaal.txt"
TUN        ="countries/Tunis.txt"
WHH        ="countries/Whydah.txt"
ZAN        ="countries/Zanzibar.txt"
ZUL        ="countries/Zulu.txt"

# Cental Asia
ABU        ="countries/Abu Dhabi.txt"
AFG        ="countries/Afghanistan.txt"
ARM        ="countries/Armenia.txt"
AZB        ="countries/Azerbaijan.txt"
BUK        ="countries/Bukkhara.txt"
GEO        ="countries/Georgia.txt"
HDJ        ="countries/Hedjaz.txt"
IRQ        ="countries/Iraq.txt"
KHI        ="countries/Khiva.txt"
KOK        ="countries/Kokand.txt"
MUG        ="countries/Mughalistan.txt"
NEJ        ="countries/Nejd.txt"
OMA        ="countries/Oman.txt"
PER        ="countries/Persia.txt"
PRA        ="countries/Persia Afsharid.txt"
PRZ        ="countries/Persia Zand.txt"
PRQ        ="countries/Persia Qajar.txt"
YEM        ="countries/Yemen.txt"
HSA        ="countries/Al-Ahsa.txt"

# India
HND         ="countries/India.txt"
AWA        ="countries/Awadh.txt"
ARK        ="countries/Arakan.txt"
BAS        ="countries/Bastar.txt"
BER        ="countries/Beroda.txt"
BHO        ="countries/Bhopal.txt"
BIK        ="countries/Bikaner.txt"
BUN        ="countries/Bundelkhand.txt"
CHG        ="countries/Chitaldroog.txt"
CRL		   ="countries/Chitral.txt"
COC        ="countries/Cochin.txt"
CIT        ="countries/Calicut.txt"
GWA        ="countries/Gwailor.txt"
HYD        ="countries/Hyderabad.txt"
IND        ="countries/Indore.txt"
JAI        ="countries/Jaipur.txt"
JAS        ="countries/Jaisalmer.txt"
JOD        ="countries/Jodhpur.txt"
KAL        ="countries/Kalat.txt"
KAS        ="countries/Kashmir.txt"
KLD        ="countries/Keladi.txt"
KUT        ="countries/Kutch.txt"
KND        ="countries/Kandy.txt"
LAD        ="countries/Ladakh.txt"
MEW        ="countries/Mewar.txt"
MYS        ="countries/Mysore.txt"
NAG        ="countries/Nagpur.txt"
NEP        ="countries/Nepal.txt"
ORI        ="countries/Orissa.txt"
PNJ        ="countries/Panjab.txt"
SHI        ="countries/Shimla.txt"
SIK        ="countries/Sikkim.txt"
SIN        ="countries/Sind.txt"
TRA        ="countries/Travancore.txt"
TNJ        ="countries/Thanjavur.txt"
TRP        ="countries/Tripura.txt"

# Eastern Asia
AYO		   ="countries/Ayutthaya.txt"
ATJ        ="countries/Atjeh.txt"
BAL        ="countries/Bali.txt"
BHU        ="countries/Bhutan.txt"
BRU        ="countries/Brunei.txt"
BUR        ="countries/Burma.txt"
CAM        ="countries/Cambodia.txt"
CHI        ="countries/China.txt"
DAI        ="countries/Dai Viet.txt"
DZN        ="countries/Dzungaria.txt"
JAV        ="countries/Java.txt"
KOR        ="countries/Korea.txt"
LUA        ="countries/Luang Prabang.txt"
JOH        ="countries/Johore.txt"
SIA        ="countries/Siam.txt"
TIB        ="countries/Tibet.txt"
MGL        ="countries/Mongolia.txt"
WIA        ="countries/Wiang Chhan.txt"
PHL        ="countries/Philippines.txt"
MCK        ="countries/Manchukuo.txt"
GXI        ="countries/Guangxi Clique.txt"
SXI        ="countries/Shanxi.txt"
YNN        ="countries/Yunnan.txt"
XBI        ="countries/Xibei San Ma.txt"
XIN        ="countries/Xinjiang.txt"
MJA        ="countries/Majapahit.txt"
PEG     ="countries/Pegu.txt"
CMG        ="countries/Lanna.txt"
# North America
CAL        ="countries/Californian Republic.txt"
CAN        ="countries/Canada.txt"
CHE        ="countries/Cherokee.txt"
CMN        ="countries/Comanche.txt"
COL        ="countries/Columbia.txt"
COS        ="countries/Costa Rica.txt"
CSA        ="countries/CSA.txt"
    CUB        ="countries/Cuba.txt"
    DES        ="countries/Deseret.txt"
    DOM        ="countries/Dominican Republic.txt"
    ELS        ="countries/El Salvador.txt"
    GUA        ="countries/Guatemala.txt"
    HAI        ="countries/Haiti.txt"
HAW        ="countries/Hawaii.txt"
#MAN        ="countries/Manhattan Commune.txt"
MEX        ="countries/Mexico.txt"
MTC        ="countries/Metis Confederacy.txt"
NTC        ="countries/Natchez.txt"
HON        ="countries/Honduras.txt"
NEN        ="countries/New England.txt"
NEW        ="countries/Newfoundland.txt"
NIC        ="countries/Nicaragua.txt"
MIS     ="countries/Missouri.txt"
OSG        ="countries/Osage.txt"
PNM        ="countries/Panama.txt"
QUA        ="countries/Quapaw.txt"
QUE        ="countries/Quebec.txt"
TEX        ="countries/Texas.txt"
UCA        ="countries/United States of Central America.txt"
YCH        ="countries/Yuchi.txt"

# South America
ARG        ="countries/Argentina.txt"
BOL        ="countries/Bolivia.txt"
BRZ        ="countries/Brazil.txt"
CHL        ="countries/Chile.txt"
CLM        ="countries/Colombia.txt"
ECU        ="countries/Ecuador.txt"
PEU        ="countries/Peru.txt"
PRG        ="countries/Paraguay.txt"
URU        ="countries/Uruguay.txt"
VNZ        ="countries/Venezuela.txt"

# Australasia
AST        ="countries/Australia.txt"
NZL        ="countries/New Zealand.txt"

# Common Great Powers
ENG        = "countries/United Kingdom.txt"
RUS        = "countries/Russia.txt"
FRA        = "countries/France.txt"
PRU        = "countries/Prussia.txt"
GER        = "countries/Germany.txt"
AUS        = "countries/Austria.txt"
USA        = "countries/USA.txt"
JAP        = "countries/Japan.txt"
ITA        = "countries/Italy.txt"
KUK        = "countries/Austria-Hungary.txt"


#new for 1.2
ISR        ="countries/Israel.txt"
ICL        ="countries/Iceland.txt"
BYZ        ="countries/Byzantium.txt"
BAB        ="countries/Babylonia.txt"

#new for AHD
#TPG        ="countries/Taiping.txt"

##HoD Dominions
dynamic_tags  = yes # any tags after this is considered dynamic dominions
D01        = "countries/D01.txt"
D02        = "countries/D02.txt"
D03        = "countries/D03.txt"
D04        = "countries/D04.txt"
D05        = "countries/D05.txt"
D06        = "countries/D06.txt"
D07        = "countries/D07.txt"
D08        = "countries/D08.txt"
D09        = "countries/D09.txt"
D10        = "countries/D10.txt"
